step,episode/action_changes,episode/actions_mean,episode/actions_std,episode_perf/constraint_index,episode_perf/energy_index,episode_perf/time_index,eval/episode_perf/constraint_index,eval/episode_perf/energy_index,eval/episode_perf/time_index,eval/max_reward_step_by_step,eval/mean_episode_reward,eval/mean_reward_step_by_step,eval/min_reward_step_by_step,eval/num_episodes_completed,eval/std_episode_reward,eval/std_reward_step_by_step,eval/total_reward_steps,episode/real_actions_Qp_max,episode/real_actions_Qp_mean,episode/real_actions_Qp_min,episode/real_actions_Qp_std,episode/real_actions_R_max,episode/real_actions_R_mean,episode/real_actions_R_min,episode/real_actions_R_std,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss,eval/mean_ep_length,eval/mean_reward,eval/mean_reward_parent_check
165888,285.33404541015625,-0.5760732293128967,1.0597572326660156,1.668095350265503,1.295827031135559,0.755850076675415,1.0054291486740112,0.88707035779953,0.6417361497879028,4.0527143478393555,42.657257080078125,0.018224382773041725,-4.352963924407959,91.0,72.05056762695312,0.4003099203109741,9216.0,,,,,,,,,-2.760169267654419,0.11099376529455185,-0.001986304996535182,0.7632201313972473,,,
175104,148.8703155517578,-0.4830155372619629,1.08403480052948,0.49819886684417725,0.7247868776321411,0.5982019305229187,1.0913554430007935,0.8783547878265381,0.6381596326828003,4.079738616943359,60.94773864746094,0.02287408895790577,-4.181116104125977,92.0,56.12607192993164,0.4039371609687805,9216.0,8.0,2.5782995223999023,0.0,2.6821868419647217,14.0,9.569320678710938,6.0,2.842538595199585,-2.7556536197662354,0.10095854103565216,-0.0010518127819523215,0.9997594952583313,,,
184320,24.42055892944336,-0.39696189761161804,0.9492477178573608,0.7842920422554016,0.9067031741142273,0.5999662280082703,1.0521841049194336,0.888664186000824,0.6381447911262512,4.106546401977539,48.02488708496094,0.021234625950455666,-4.418097496032715,96.0,70.01380157470703,0.41665828227996826,9216.0,8.0,2.4954323768615723,0.0,2.6567370891571045,14.0,9.427162170410156,6.0,2.819779396057129,-2.7523136138916016,0.05711010843515396,-0.003762019332498312,0.45542988181114197,,,
193536,26.478649139404297,-0.8052210807800293,1.1043168306350708,0.8694442510604858,0.7999914884567261,0.6235395073890686,1.0429097414016724,0.9003362059593201,0.6468786597251892,4.135107517242432,47.492454528808594,0.020589163526892662,-4.360321521759033,98.0,71.18949127197266,0.425976037979126,9216.0,8.0,2.4320614337921143,0.0,2.640695810317993,14.0,9.27975082397461,6.0,2.8027775287628174,-2.748979330062866,0.453052818775177,-0.0014329336117953062,1.0483596324920654,,,
199968,215.4788818359375,-0.5312260985374451,0.9980650544166565,1.6618353128433228,0.926662266254425,0.5873531103134155,,,,,,,,,,,,,,,,,,,,-2.745025873184204,0.8313553333282471,-0.0021278592757880688,1.137585997581482,185.25,-125.90552520751953,-123.88603210449219
202752,211.57403564453125,-0.35181453824043274,1.0956321954727173,1.1970831155776978,0.9114907383918762,0.6926453113555908,1.1763207912445068,0.9213595390319824,0.6415677666664124,4.166562557220459,46.787391662597656,0.01910531520843506,-4.287500858306885,92.0,57.4224739074707,0.4147976040840149,9216.0,,,,,,,,,,,,,,,
211968,123.5129165649414,-0.35052549839019775,0.8684127926826477,1.0299901962280273,0.9435967206954956,0.690220057964325,1.0112649202346802,0.9122824668884277,0.646467924118042,4.179692268371582,54.80775833129883,0.024762805551290512,-4.431499481201172,101.0,63.54142761230469,0.43759265542030334,9216.0,8.0,2.3951807022094727,0.0,2.636812448501587,14.0,9.163097381591797,6.0,2.788116216659546,-2.7431726455688477,0.37437814474105835,-0.0009961300529539585,0.5762753486633301,,,
221184,84.98743438720703,-0.5084807276725769,0.9542284607887268,1.0436052083969116,0.8145811557769775,0.6747597455978394,0.9811503291130066,0.901664674282074,0.6514759659767151,4.19529914855957,60.42239761352539,0.02792513370513916,-4.416533946990967,105.0,56.203102111816406,0.4463174343109131,9216.0,8.0,2.373694896697998,0.0,2.635342836380005,14.0,9.072855949401855,6.0,2.767062187194824,-2.7388558387756348,0.0789114236831665,-0.001044606207869947,0.9264463186264038,,,
230400,54.61737060546875,-0.7263474464416504,0.9576071500778198,1.3518010377883911,1.0230246782302856,0.6525191068649292,1.010161280632019,0.8940946459770203,0.6463580131530762,4.21665096282959,49.29719161987305,0.02532682567834854,-4.44292688369751,108.0,71.98348236083984,0.4555099308490753,9216.0,8.0,2.3824281692504883,0.0,2.6424977779388428,14.0,8.982536315917969,6.0,2.7526214122772217,-2.7328379154205322,1.4538469314575195,-0.0014621070586144924,0.9413094520568848,,,
239616,115.61293029785156,-0.4027017652988434,1.0943108797073364,1.3011916875839233,0.9307111501693726,0.6946200728416443,1.0046353340148926,0.8993133902549744,0.6532975435256958,4.236042022705078,62.828861236572266,0.02905336767435074,-4.594340801239014,105.0,55.41261672973633,0.44976213574409485,9216.0,,,,,,,,,-2.7298381328582764,0.443150132894516,-0.0018704081885516644,1.3731505870819092,,,
248832,329.83209228515625,-0.46339544653892517,0.9926964044570923,0.4572475850582123,0.8046037554740906,0.6675966382026672,1.0040829181671143,0.8951672315597534,0.6454781293869019,4.249855041503906,50.37042999267578,0.024658534675836563,-4.554929733276367,107.0,71.06924438476562,0.4583995044231415,9216.0,8.0,2.424341917037964,0.0,2.6514179706573486,14.0,8.874358177185059,6.0,2.720449924468994,-2.7275593280792236,0.5412066578865051,-0.0023660415317863226,0.8415840864181519,,,
249960,333.5577697753906,-0.5077720880508423,1.082500696182251,1.7997678518295288,0.9800114631652832,0.7544056177139282,,,,,,,,,,,,,,,,,,,,-2.7247204780578613,0.20483534038066864,-0.0012958372244611382,1.184657335281372,195.1666717529297,-87.76873779296875,-125.90552520751953
258048,53.90233612060547,-0.3786605894565582,1.031685709953308,0.7400038838386536,1.040259599685669,0.706217885017395,1.0410895347595215,0.8991308808326721,0.6478003263473511,4.271127223968506,52.603416442871094,0.025842813774943352,-4.555830478668213,107.0,71.03446197509766,0.4603407680988312,9216.0,8.0,2.440859794616699,0.0,2.656947612762451,14.0,8.822391510009766,6.0,2.705145835876465,,,,,,,
