step,episode/action_changes,episode/actions_mean,episode/actions_std,episode_perf/constraint_index,episode_perf/energy_index,episode_perf/time_index,eval/episode_perf/constraint_index,eval/episode_perf/energy_index,eval/episode_perf/time_index,eval/max_reward_step_by_step,eval/mean_episode_reward,eval/mean_reward_step_by_step,eval/min_reward_step_by_step,eval/num_episodes_completed,eval/std_episode_reward,eval/std_reward_step_by_step,eval/total_reward_steps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,episode/real_actions_Qp_max,episode/real_actions_Qp_mean,episode/real_actions_Qp_min,episode/real_actions_Qp_std,episode/real_actions_R_max,episode/real_actions_R_mean,episode/real_actions_R_min,episode/real_actions_R_std,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/policy_gradient_loss,train/std,train/value_loss,eval/mean_ep_length,eval/mean_reward,eval/mean_reward_parent_check,actions/dim_0_autocorrelation,actions/dim_0_dynamic_range,actions/dim_10_autocorrelation,actions/dim_10_dynamic_range,actions/dim_11_autocorrelation,actions/dim_11_dynamic_range,actions/dim_1_autocorrelation,actions/dim_1_dynamic_range,actions/dim_2_autocorrelation,actions/dim_2_dynamic_range,actions/dim_3_autocorrelation,actions/dim_3_dynamic_range,actions/dim_4_autocorrelation,actions/dim_4_dynamic_range,actions/dim_5_autocorrelation,actions/dim_5_dynamic_range,actions/dim_6_autocorrelation,actions/dim_6_dynamic_range,actions/dim_7_autocorrelation,actions/dim_7_dynamic_range,actions/dim_8_autocorrelation,actions/dim_8_dynamic_range,actions/dim_9_autocorrelation,actions/dim_9_dynamic_range,actions/entropy,actions/stability
165888,285.3340454,-0.576073229,1.059757233,1.66809535,1.295827031,0.755850077,1.005429149,0.887070358,0.64173615,4.052714348,42.65725708,0.018224383,-4.352963924,91,72.05056763,0.40030992,9216,103.2799988,43.62801361,45,,,,,,,,,0.003842076,0.025173612,0.200000003,-2.760169268,0.542847037,4.84E-05,0.110993765,-0.001986305,0.960669398,0.763220131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175104,148.8703156,-0.483015537,1.084034801,0.498198867,0.724786878,0.598201931,1.091355443,0.878354788,0.638159633,4.079738617,60.94773865,0.022874089,-4.181116104,92,56.12607193,0.403937161,9216,98.47000122,61.83520508,46,8,2.578299522,0,2.682186842,14,9.569320679,6,2.842538595,0.002898295,0.012803819,0.200000003,-2.75565362,0.447519898,4.83E-05,0.100958541,-0.001051813,0.958610654,0.999759495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184320,24.42055893,-0.396961898,0.949247718,0.784292042,0.906703174,0.599966228,1.052184105,0.888664186,0.638144791,4.106546402,48.02488708,0.021234626,-4.418097496,96,70.01380157,0.416658282,9216,98.72000122,48.65007782,46,8,2.495432377,0,2.656737089,14,9.42716217,6,2.819779396,0.005859186,0.043467883,0.200000003,-2.752313614,0.660429358,4.82E-05,0.057110108,-0.003762019,0.95770824,0.455429882,,,,1,6.755782604,-1,6.871394157,-1,6.509679317,1,6.99389267,-1,7.197093964,-1,6.440152168,1,7.260408401,1,6.455811501,-1,6.999773026,-1,6.896451473,-1,7.19951725,-1,7.215772629,0,1.083507299
193536,26.47864914,-0.805221081,1.104316831,0.869444251,0.799991488,0.623539507,1.042909741,0.900336206,0.64687866,4.135107517,47.49245453,0.020589164,-4.360321522,98,71.18949127,0.425976038,9216,95.31999969,47.80182648,46,8,2.432061434,0,2.64069581,14,9.279750824,6,2.802777529,0.003501392,0.015328415,0.200000003,-2.74897933,0.457833111,4.82E-05,0.453052819,-0.001432934,0.955242753,1.048359632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199968,215.4788818,-0.531226099,0.998065054,1.661835313,0.926662266,0.58735311,,,,,,,,,,,,,,,,,,,,,,,0.005046905,0.017628761,0.200000003,-2.745025873,0.435239613,4.81E-05,0.831355333,-0.002127859,0.954174042,1.137585998,185.25,-125.9055252,-123.8860321,,,,,,,,,,,,,,,,,,,,,,,,,,
202752,211.5740356,-0.351814538,1.095632195,1.197083116,0.911490738,0.692645311,1.176320791,0.921359539,0.641567767,4.166562557,46.78739166,0.019105315,-4.287500858,92,57.42247391,0.414797604,9216,97.58999634,48.257267,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211968,123.5129166,-0.350525498,0.868412793,1.029990196,0.943596721,0.690220058,1.01126492,0.912282467,0.646467924,4.179692268,54.80775833,0.024762806,-4.431499481,101,63.54142761,0.437592655,9216,91.80000305,54.51226044,46,8,2.395180702,0,2.636812449,14,9.163097382,6,2.788116217,0.00508293,0.039648436,0.200000003,-2.743172646,0.653295875,4.80E-05,0.374378145,-0.00099613,0.953364849,0.576275349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221184,84.98743439,-0.508480728,0.954228461,1.043605208,0.814581156,0.674759746,0.981150329,0.901664674,0.651475966,4.195299149,60.42239761,0.027925134,-4.416533947,105,56.20310211,0.446317434,9216,87.47000122,61.76436615,46,8,2.373694897,0,2.635342836,14,9.072855949,6,2.767062187,0.00331275,0.01259404,0.200000003,-2.738855839,0.521861315,4.79E-05,0.078911424,-0.001044606,0.949768782,0.926446319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230400,54.61737061,-0.726347446,0.95760715,1.351801038,1.023024678,0.652519107,1.010161281,0.894094646,0.646358013,4.216650963,49.29719162,0.025326826,-4.442926884,108,71.98348236,0.455509931,9216,86.66000366,47.45348358,46,8,2.382428169,0,2.642497778,14,8.982536316,6,2.752621412,0.004122084,0.023451967,0.200000003,-2.732837915,0.440932393,4.78E-05,1.453846931,-0.001462107,0.947943568,0.941309452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239616,115.6129303,-0.402701765,1.09431088,1.301191688,0.93071115,0.694620073,1.004635334,0.89931339,0.653297544,4.236042023,62.82886124,0.029053368,-4.594340801,105,55.41261673,0.449762136,9216,87.12999725,61.29230499,46,,,,,,,,,0.004071583,0.015653934,0.200000003,-2.729838133,0.377114177,4.77E-05,0.443150133,-0.001870408,0.946997166,1.373150587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
