step,episode/action_changes,episode/actions_mean,episode/actions_std,episode_perf/constraint_index,episode_perf/energy_index,episode_perf/time_index,eval/episode_perf/constraint_index,eval/episode_perf/energy_index,eval/episode_perf/time_index,eval/max_reward_step_by_step,eval/mean_episode_reward,eval/mean_reward_step_by_step,eval/min_reward_step_by_step,eval/num_episodes_completed,eval/std_episode_reward,eval/std_reward_step_by_step,eval/total_reward_steps,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss,episode/real_actions_Th_max,episode/real_actions_Th_mean,episode/real_actions_Th_min,episode/real_actions_Th_std,episode/real_actions_dt_max,episode/real_actions_dt_mean,episode/real_actions_dt_min,episode/real_actions_dt_std,eval/mean_ep_length,eval/mean_reward,eval/mean_reward_parent_check
155648,162.06805419921875,0.19667688012123108,0.943504273891449,0.9079057574272156,1.4515810012817383,0.611263632774353,0.7391043901443481,1.337148904800415,0.4877861738204956,0.5371864438056946,-646.9025268554688,-0.023242974653840065,-0.15318839251995087,51.0,204.2948455810547,0.0466003492474556,8192.0,,,,,,,,,,,,,,,
163840,529.6649169921875,0.0767166018486023,0.8772631883621216,1.2276923656463623,1.4849909543991089,0.48480135202407837,0.808835506439209,1.4002792835235596,0.4813239872455597,0.5375126004219055,-699.9524536132812,-0.023462066426873207,-0.17879128456115723,52.0,273.19293212890625,0.047384828329086304,8192.0,-2.3430771827697754,0.0094155827537179,-0.002614631550386548,0.042851027101278305,30.0,16.611570358276367,4.0,9.364628791809082,4.0,2.520484685897827,0.5999999046325684,1.1579525470733643,,,
172032,374.7821350097656,0.13223862648010254,0.8801369667053223,0.9516842365264893,1.165307879447937,0.38783350586891174,0.8327643871307373,1.4374613761901855,0.5018345713615417,0.5341368317604065,-728.5369873046875,-0.023452840745449066,-0.16076339781284332,50.0,224.54513549804688,0.04648172855377197,8192.0,-2.3290786743164062,-0.003887314349412918,-0.013163656927645206,0.05492111295461655,,,,,,,,,,,
180224,260.4583740234375,0.08234197646379471,0.9001659154891968,1.2029345035552979,1.2819013595581055,0.5476694107055664,0.8412052392959595,1.3843677043914795,0.4829711318016052,0.5364171862602234,-715.3203735351562,-0.02452259510755539,-0.2971557080745697,48.0,255.71424865722656,0.046007152646780014,8192.0,-2.3239362239837646,-0.0010435543954372406,-0.012253792956471443,0.04656987637281418,,,,,,,,,,,
188416,43.83686828613281,-0.022253848612308502,1.1837890148162842,1.0934643745422363,1.1418652534484863,0.3922908306121826,0.9251662492752075,1.435294270515442,0.472756952047348,0.5358383655548096,-755.7648315429688,-0.023983463644981384,-0.19134296476840973,53.0,246.6053924560547,0.04745364189147949,8192.0,-2.309593439102173,-0.011627019383013248,-0.014184916391968727,0.03794848546385765,,,,,,,,,,,
196608,59.72981262207031,0.05684846267104149,0.765925943851471,0.6542333960533142,1.2646369934082031,0.5274071097373962,0.7156097888946533,1.3417478799819946,0.4621560275554657,0.5369961857795715,-645.535888671875,-0.022662585601210594,-2.9008498191833496,53.0,197.21041870117188,0.06445661932229996,8192.0,-2.297179698944092,0.022021275013685226,0.002657740144059062,0.04185204952955246,30.0,16.59872817993164,4.0,9.305066108703613,4.0,2.582984685897827,0.5999999046325684,1.1243033409118652,,,
200000,122.7242660522461,0.09368889033794403,0.8522310853004456,0.9843153357505798,1.1472947597503662,0.4590451717376709,,,,,,,,,,,,-2.2931065559387207,0.0017588622868061066,-0.006224557291716337,0.08919990062713623,,,,,,,,,142.75,-497.24591064453125,-572.5879516601562
204800,92.56019592285156,-0.02084255963563919,0.8938410878181458,0.384519100189209,1.5047006607055664,0.5362523198127747,0.764836847782135,1.3413364887237549,0.4852938652038574,0.53968346118927,-645.5093994140625,-0.023529695346951485,-0.3336036503314972,55.0,176.207763671875,0.048603761941194534,8192.0,,,,,,,,,,,,,,,
212992,171.46896362304688,0.32139620184898376,0.9377375841140747,0.30573537945747375,1.235970377922058,0.48121899366378784,0.6931738257408142,1.365667700767517,0.48368287086486816,0.5392337441444397,-625.2772216796875,-0.022168856114149094,-0.4968016743659973,50.0,205.75193786621094,0.04649215191602707,8192.0,-2.2923309803009033,0.020346060395240784,0.0008289528777822852,0.04516221582889557,,,,,,,,,,,
221184,67.07030487060547,0.4468989670276642,0.8761259913444519,0.9944135546684265,1.3402642011642456,0.42245784401893616,0.7412691116333008,1.3532651662826538,0.45905375480651855,0.5414561629295349,-636.37646484375,-0.02441909722983837,-3.0009098052978516,60.0,215.74874877929688,0.06003159284591675,8192.0,-2.2910194396972656,0.0049141887575387955,0.0003582356439437717,0.03863834589719772,,,,,,,,,,,
