step,episode/action_changes,episode/actions_mean,episode/actions_std,episode_perf/constraint_index,episode_perf/energy_index,episode_perf/time_index,eval/episode_perf/constraint_index,eval/episode_perf/energy_index,eval/episode_perf/time_index,eval/max_reward_step_by_step,eval/mean_episode_reward,eval/mean_reward_step_by_step,eval/min_reward_step_by_step,eval/num_episodes_completed,eval/std_episode_reward,eval/std_reward_step_by_step,eval/total_reward_steps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/policy_gradient_loss,train/std,train/value_loss,episode/real_actions_Th_max,episode/real_actions_Th_mean,episode/real_actions_Th_min,episode/real_actions_Th_std,episode/real_actions_dt_max,episode/real_actions_dt_mean,episode/real_actions_dt_min,episode/real_actions_dt_std,eval/mean_ep_length,eval/mean_reward,eval/mean_reward_parent_check,actions/dim_0_autocorrelation,actions/dim_0_dynamic_range,actions/dim_10_autocorrelation,actions/dim_10_dynamic_range,actions/dim_11_autocorrelation,actions/dim_11_dynamic_range,actions/dim_12_autocorrelation,actions/dim_12_dynamic_range,actions/dim_13_autocorrelation,actions/dim_13_dynamic_range,actions/dim_14_autocorrelation,actions/dim_14_dynamic_range,actions/dim_15_autocorrelation,actions/dim_15_dynamic_range,actions/dim_1_autocorrelation,actions/dim_1_dynamic_range,actions/dim_2_autocorrelation,actions/dim_2_dynamic_range,actions/dim_3_autocorrelation,actions/dim_3_dynamic_range,actions/dim_4_autocorrelation,actions/dim_4_dynamic_range,actions/dim_5_autocorrelation,actions/dim_5_dynamic_range,actions/dim_6_autocorrelation,actions/dim_6_dynamic_range,actions/dim_7_autocorrelation,actions/dim_7_dynamic_range,actions/dim_8_autocorrelation,actions/dim_8_dynamic_range,actions/dim_9_autocorrelation,actions/dim_9_dynamic_range,actions/entropy,actions/stability
172032,374.7821350097656,0.1322386264801025,0.8801369667053223,0.9516842365264891,1.165307879447937,0.3878335058689117,0.8327643871307373,1.4374613761901855,0.5018345713615417,0.5341368317604065,-728.5369873046875,-0.023452840745449,-0.1607633978128433,50.0,224.54513549804688,0.0464817285537719,8192.0,163.25999450683594,-641.6860480634589,40.0,0.0234195999801158,0.1789306700229644,0.2000000029802322,-2.3290786743164062,0.9460332989692688,0.0008428709115833,-0.0038873143494129,-0.0131636569276452,0.7771334648132324,0.0549211129546165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180224,260.4583740234375,0.0823419764637947,0.9001659154891968,1.202934503555298,1.2819013595581057,0.5476694107055664,0.8412052392959595,1.3843677043914795,0.4829711318016052,0.5364171862602234,-715.3203735351562,-0.0245225951075553,-0.2971557080745697,48.0,255.71424865722656,0.04600715264678,8192.0,162.86000061035156,-627.6021677615157,40.0,0.0231382474303245,0.1765407919883728,0.2000000029802322,-2.3239362239837646,0.9517549276351928,0.0008353667799383,-0.0010435543954372,-0.0122537929564714,0.7755546569824219,0.0465698763728141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188416,43.83686828613281,-0.0222538486123085,1.1837890148162842,1.0934643745422363,1.1418652534484863,0.3922908306121826,0.9251662492752076,1.435294270515442,0.472756952047348,0.5358383655548096,-755.7648315429688,-0.0239834636449813,-0.1913429647684097,53.0,246.6053924560547,0.0474536418914794,8192.0,161.08999633789062,-635.3107610624388,41.0,0.0259158853441476,0.2001464813947677,0.2000000029802322,-2.309593439102173,0.9567545652389526,0.000827896175906,-0.0116270193830132,-0.0141849163919687,0.7679386734962463,0.0379484854638576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196608,59.72981262207031,0.0568484626710414,0.765925943851471,0.6542333960533142,1.2646369934082031,0.5274071097373962,0.7156097888946533,1.3417478799819946,0.4621560275554657,0.5369961857795715,-645.535888671875,-0.0226625856012105,-2.9008498191833496,53.0,197.21041870117188,0.0644566193222999,8192.0,158.3699951171875,-620.7948861732634,41.0,0.0210756640881299,0.1591796875,0.2000000029802322,-2.297179698944092,0.9584558010101318,0.0008204591576941,0.0220212750136852,0.002657740144059,0.7658102512359619,0.0418520495295524,30.0,16.59872817993164,4.0,9.305066108703612,4.0,2.582984685897827,0.5999999046325684,1.1243033409118652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200000,122.7242660522461,0.093688890337944,0.8522310853004456,0.9843153357505798,1.1472947597503662,0.4590451717376709,,,,,,,,,,,,,,,0.0336106941103935,0.1815234422683715,0.2000000029802322,-2.2931065559387207,0.8902263045310974,0.0008130556670948,0.0017588622868061,-0.0062245572917163,0.765261173248291,0.0891999006271362,,,,,,,,,142.75,-511.84270898965747,-572.5879516601562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204800,92.56019592285156,-0.0208425596356391,0.8938410878181458,0.384519100189209,1.5047006607055664,0.5362523198127747,0.764836847782135,1.3413364887237549,0.4852938652038574,0.53968346118927,-645.5093994140625,-0.0235296953469514,-0.3336036503314972,55.0,176.207763671875,0.0486037619411945,8192.0,152.4199981689453,-607.0654986505551,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212992,171.46896362304688,0.3213962018489837,0.9377375841140748,0.3057353794574737,1.235970377922058,0.4812189936637878,0.6931738257408142,1.365667700767517,0.4836828708648681,0.5392337441444397,-625.2772216796875,-0.022168856114149,-0.4968016743659973,50.0,205.7519378662109,0.046492151916027,8192.0,152.3300018310547,-614.947028146316,41.0,0.0238010361790657,0.16021728515625,0.2000000029802322,-2.292330980300904,0.9536082744598388,0.0008056857623159,0.0203460603952407,0.0008289528777822,0.7648137211799622,0.0451622158288955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221184,67.07030487060547,0.4468989670276642,0.8761259913444519,0.9944135546684264,1.3402642011642456,0.4224578440189361,0.7412691116333008,1.3532651662826538,0.4590537548065185,0.5414561629295349,-636.37646484375,-0.0244190972298383,-3.000909805297852,60.0,215.74874877929688,0.0600315928459167,8192.0,148.8800048828125,-613.5152844118918,42.0,0.0278327092528343,0.1237304657697677,0.2000000029802322,-2.2910194396972656,0.9449838399887084,0.0007983493851497,0.0049141887575387,0.0003582356439437,0.764670729637146,0.0386383458971977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229376,486.6497192382813,0.2513421773910522,0.8962439298629761,0.1851505190134048,1.1633565425872805,0.4157339632511139,0.6865518093109131,1.289738655090332,0.4737862050533294,0.5419780015945435,-593.9724731445312,-0.0216499920934438,-0.2103491872549057,54.0,168.60137939453125,0.0476897805929183,8192.0,147.8800048828125,-613.2870662408458,42.0,0.0268725212663412,0.1702706515789032,0.2000000029802322,-2.289613485336304,0.9397891759872437,0.0007910465938039,0.0148936668410897,0.0020717720035463,0.7634267807006836,0.0562591738998889,30.0,16.91352653503418,4.0,9.296507835388184,4.0,2.628203153610229,0.5999999046325684,1.101866364479065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237568,137.4785614013672,0.325411319732666,0.9334635138511658,0.4262007772922516,1.324548602104187,0.4052400887012481,0.7205667495727539,1.3741135597229004,0.483081579208374,0.5434380769729614,-640.2274169921875,-0.0224251095205545,-0.2088997066020965,56.0,209.0922393798828,0.0491720475256443,8192.0,150.64999389648438,-606.8313781052653,42.0,0.0266184210777282,0.1891493052244186,0.2000000029802322,-2.28039026260376,0.9394158124923706,0.0007837773300707,-0.0239868257194757,-0.0180770829319953,0.7583088278770447,0.0369645655155181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245760,265.8300476074219,-0.0085872747004032,0.9030541181564332,0.4109531939029693,1.3096036911010742,0.4318915903568268,0.671363115310669,1.309592843055725,0.4709797203540802,0.544537365436554,-596.376220703125,-0.0222150236368179,-2.8925695419311523,55.0,202.8767852783203,0.0576229244470596,8192.0,148.3300018310547,-596.3882305072709,42.0,0.0290091950446367,0.1926125884056091,0.2000000029802322,-2.26479721069336,0.953588604927063,0.0007765416521579,-0.0076266163960099,-0.0103270066902041,0.7510799169540405,0.0325308702886104,,,,,,,,,,,,-1.0,6.410001277923584,1.0,6.910844802856445,1.0,5.942799091339111,1.0,6.737800121307373,1.0,6.958113193511963,-1.0,5.607561111450195,-1.0,5.930627822875977,1.0,5.645211219787598,1.0,6.490384101867676,-1.0,6.903623580932617,1.0,6.6456146240234375,1.0,6.586443901062012,-1.0,6.85740852355957,1.0,6.324767112731934,-1.0,5.988550186157227,-1.0,6.17020320892334,0.0,0.8588066697120667
